"Time","camera_rel_pose_dphi","camera_rel_pose_dx","camera_rel_pose_dy","fusion_rel_pose_dphi","fusion_rel_pose_dx","fusion_rel_pose_dy","groundtruth_follow_longi_velocity","groundtruth_lead_longi_velocity","groundtruth_rel_pose_dphi","groundtruth_rel_pose_dx","groundtruth_rel_pose_dy","lidar_rel_pose_dphi","lidar_rel_pose_dx","lidar_rel_pose_dy"
0.431,-0.001819930342,3.128728332,0.005598101969,-0.001791030192,3.163298469,0.01125470089,5.92969138e-07,5.929691211e-07,1.613598144e-12,3.11,-4.366046364e-06,0.009426126507,3.173177399,-0.006344347057
0.441,-0.001819930342,3.128728332,0.005598101969,-0.001790902085,3.163298856,0.01125387666,6.087774119e-07,6.087773929e-07,1.634914426e-12,3.11,-4.37893149e-06,0.009426126507,3.173177399,-0.006344347057
0.451,-0.001819930342,3.128728332,0.005598101969,-0.001791030413,3.163299373,0.01125468398,6.27850601e-07,6.278505799e-07,1.655786619e-12,3.11,-4.375383547e-06,0.009426126507,3.173177399,-0.006344347057
0.461,-0.001819930342,3.128728332,0.005598101969,-0.001790997744,3.163299737,0.01125448864,6.49719044e-07,6.497190206e-07,1.675770633e-12,3.11,-4.355888962e-06,0.009426126507,3.173177399,-0.006344347057
0.471,-0.001819930342,3.128728332,0.005598101969,-0.001791037651,3.163300093,0.01125476814,6.739100883e-07,6.739100627e-07,1.694200336e-12,3.11,-4.321042728e-06,0.009426126507,3.173177399,-0.006344347057
0.481,-0.001819930342,3.128728332,0.005598101969,-0.001791027438,3.163300565,0.01125474416,6.999500046e-07,6.999499768e-07,1.712185949e-12,3.11,-4.271496145e-06,0.009426126507,3.173177399,-0.006344347057
0.491,-0.001819930342,3.128728332,0.005598101969,-0.0002387745895,3.164672685,0.008946845687,7.27383077e-07,7.27383047e-07,1.729727472e-12,3.11,-4.207974777e-06,0.009422111805,3.173176836,-0.006342621298
0.501,-0.001819930342,3.128728332,0.005598101969,-0.0002386628705,3.164672989,0.008946215178,7.557631659e-07,7.557631338e-07,1.746380818e-12,3.11,-4.131257861e-06,0.009422111805,3.173176836,-0.006342621298
0.511,-0.001819930342,3.128728332,0.005598101969,-0.0002387804711,3.164673276,0.008947043351,7.846686736e-07,7.846686395e-07,1.762145985e-12,3.11,-4.042164748e-06,0.009422111805,3.173176836,-0.006342621298
0.521,-0.001819930342,3.128728332,0.005598101969,-0.0002387523365,3.164673688,0.00894696068,8.137002601e-07,8.137002242e-07,1.777689107e-12,3.11,-3.94155799e-06,0.009422111805,3.173176836,-0.006342621298
0.531,-0.001819930342,3.128728332,0.005598101969,-0.0002387880442,3.164674385,0.008947291128,8.424842321e-07,8.424841944e-07,1.792122006e-12,3.11,-3.830319812e-06,0.009422111805,3.173176836,-0.006342621298
0.541,-0.001819930342,3.128728332,0.005598101969,-0.0002387798936,3.164674753,0.008947354952,8.70677163e-07,8.706771237e-07,1.806110816e-12,3.11,-3.709356398e-06,0.009422111805,3.173176836,-0.006342621298
0.551,-0.001819930342,3.128728332,0.005598101969,0.0009753687155,3.165661257,0.007077438711,8.979630591e-07,8.979630184e-07,1.819433493e-12,3.11,-3.579582845e-06,0.009749964725,3.172760464,-0.007171354715
0.561,-0.001819930342,3.128728332,0.005598101969,0.0009754713785,3.16566166,0.007076928931,9.240583159e-07,9.240582739e-07,1.831645946e-12,3.11,-3.441917886e-06,0.009749964725,3.172760464,-0.007171354715
0.571,-0.001819930342,3.128728332,0.005598101969,0.0009753590855,3.165662228,0.007077781186,9.487091027e-07,9.487090596e-07,1.843636355e-12,3.11,-3.297279607e-06,0.009749964725,3.172760464,-0.007171354715
0.581,-0.001819930342,3.128728332,0.005598101969,0.0009753842712,3.165662595,0.007077770839,9.716926098e-07,9.716925659e-07,1.854738585e-12,3.11,-3.146574924e-06,0.009749964725,3.172760464,-0.007171354715
0.591,-0.001819930342,3.128728332,0.005598101969,0.0009753523862,3.165663118,0.007078126222,9.928165885e-07,9.928165439e-07,1.865618771e-12,3.11,-2.990698899e-06,0.009749964725,3.172760464,-0.007171354715
0.601,-0.001819930342,3.128728332,0.005598101969,0.0009753593016,3.165663625,0.007078240803,1.011917447e-06,1.011917402e-06,1.875388733e-12,3.11,-2.830526189e-06,0.009749964725,3.172760464,-0.007171354715
0.611,-0.001819930342,3.128728332,0.005598101969,0.0008345976635,3.165176312,0.006424727696,1.028860196e-06,1.028860151e-06,1.884492562e-12,3.11,-2.666908631e-06,-0.0002582554473,3.161162901,0.0008320417191
0.621,-0.001819930342,3.128728332,0.005598101969,0.0008346343379,3.165176639,0.006424663021,1.043534859e-06,1.043534814e-06,1.893152302e-12,3.11,-2.50067104e-06,-0.0002582554473,3.161162901,0.0008320417191
0.631,-0.001819930342,3.128728332,0.005598101969,0.0008345931795,3.165177063,0.006425091245,1.055850716e-06,1.055850671e-06,1.901367952e-12,3.11,-2.332607133e-06,-0.0002582554473,3.161162901,0.0008320417191
0.641,-0.001819930342,3.128728332,0.005598101969,0.0008346021127,3.165177521,0.006425204183,1.065680238e-06,1.065680194e-06,1.908695424e-12,3.11,-2.163478628e-06,-0.0002582554473,3.161162901,0.0008320417191
0.651,-0.001819930342,3.128728332,0.005598101969,0.0008345904438,3.165178188,0.006425448094,1.073015087e-06,1.073015043e-06,1.916466985e-12,3.11,-1.99401006e-06,-0.0002582554473,3.161162901,0.0008320417191
0.661,-0.001819930342,3.128728332,0.005598101969,0.0008345926325,3.165178568,0.006425604291,1.078057379e-06,1.078057335e-06,1.923350368e-12,3.11,-1.824887404e-06,-0.0002582554473,3.161162901,0.0008320417191
0.671,-0.001819930342,3.128728332,0.005598101969,-0.0001798868813,3.165900134,0.006489434917,1.080513226e-06,1.080513183e-06,1.930011706e-12,3.11,-1.656756985e-06,-0.009428599511,3.172546982,0.007175146151
0.681,-0.001819930342,3.128728332,0.005598101969,-0.0001799001828,3.165900546,0.006489686209,1.080076686e-06,1.080076645e-06,1.93600691e-12,3.11,-1.490213154e-06,-0.009428599511,3.172546982,0.007175146151
0.691,-0.001819930342,3.128728332,0.005598101969,-0.0001798850484,3.165901143,0.006489756564,1.076148911e-06,1.076148872e-06,1.941335981e-12,3.11,-1.325766935e-06,-0.009428599511,3.172546982,0.007175146151
0.701,-0.001819930342,3.128728332,0.005598101969,-0.0001798884776,3.165901511,0.006489941897,1.068060274e-06,1.068060237e-06,1.946665051e-12,3.11,-1.163901389e-06,-0.009428599511,3.172546982,0.007175146151
0.711,-0.001819930342,3.128728332,0.005598101969,-0.000179884255,3.165901944,0.006490076385,1.055947429e-06,1.055947395e-06,1.951105943e-12,3.11,-1.005074716e-06,-0.009428599511,3.172546982,0.007175146151
0.721,-0.001819930342,3.128728332,0.005598101969,-0.0001798855042,3.165902395,0.006490242129,1.040315883e-06,1.040315852e-06,1.955324791e-12,3.11,-8.497147377e-07,-0.009428599511,3.172546982,0.007175146151
0.731,-0.001819930342,3.128728332,0.005598101969,-0.0009779679499,3.166535182,0.006462975299,1.021473297e-06,1.021473269e-06,1.95865546e-12,3.11,-6.982141778e-07,-0.009046223688,3.172992269,0.006233713922
0.741,-0.001819930342,3.128728332,0.005598101969,-0.0009779755015,3.166535507,0.006463172799,9.999479819e-07,9.999479564e-07,1.962652263e-12,3.11,-5.509366324e-07,-0.009046223688,3.172992269,0.006233713922
0.751,-0.001819930342,3.128728332,0.005598101969,-0.000977967157,3.166535971,0.006463265781,9.76255684e-07,9.762556617e-07,1.965316798e-12,3.11,-4.082224483e-07,-0.009046223688,3.172992269,0.006233713922
0.761,-0.001819930342,3.128728332,0.005598101969,-0.0009779696127,3.166536436,0.006463422357,9.508348386e-07,9.508348195e-07,1.967759289e-12,3.11,-2.703941636e-07,-0.009046223688,3.172992269,0.006233713922
0.771,-0.001819930342,3.128728332,0.005598101969,-0.0009779667454,3.166537104,0.006463539941,9.236176954e-07,9.2361768e-07,1.970201779e-12,3.11,-1.377545687e-07,-0.009046223688,3.172992269,0.006233713922
0.781,-0.001819930342,3.128728332,0.005598101969,-0.0009779680311,3.166537486,0.006463678751,8.945388794e-07,8.945388678e-07,1.972200181e-12,3.11,-1.054981485e-08,-0.009046223688,3.172992269,0.006233713922
0.791,-0.001819930342,3.128728332,0.005598101969,-0.0008912119079,3.16613521,0.005940681722,8.639490873e-07,8.639490796e-07,1.973976538e-12,3.11,1.110339768e-07,0.0001102338762,3.16161501,-0.000108152686
0.801,-0.001819930342,3.128728332,0.005598101969,-0.0008911733876,3.166135619,0.00594055983,8.32437959e-07,8.324379549e-07,1.975752895e-12,3.11,2.268662654e-07,0.0001102338762,3.16161501,-0.000108152686
0.811,-0.001819930342,3.128728332,0.005598101969,-0.0008912200818,3.16613624,0.005940968475,8.006441573e-07,8.006441567e-07,1.976863118e-12,3.11,3.368658119e-07,0.0001102338762,3.16161501,-0.000108152686
0.821,-0.001819930342,3.128728332,0.005598101969,-0.0008912119722,3.166136607,0.005941025534,7.691424454e-07,7.69142448e-07,1.978195385e-12,3.11,4.409938945e-07,0.0001102338762,3.16161501,-0.000108152686
0.831,-0.001819930342,3.128728332,0.005598101969,-0.000891223672,3.166137084,0.005941201456,7.383946958e-07,7.383947013e-07,1.978639474e-12,3.11,5.392480882e-07,0.0001102338762,3.16161501,-0.000108152686
0.841,-0.001819930342,3.128728332,0.005598101969,-0.0008912227035,3.166137551,0.005941291647,7.087410404e-07,7.087410486e-07,1.979083564e-12,3.11,6.316572346e-07,0.0001102338762,3.16161501,-0.000108152686
0.851,-0.001819930342,3.128728332,0.005598101969,-0.001513292075,3.166656884,0.005959729816,6.804123178e-07,6.804123285e-07,1.978639474e-12,3.11,7.182767904e-07,-0.009048806753,3.172992529,0.006234865401
0.861,-0.001819930342,3.128728332,0.005598101969,-0.001513302198,3.16665722,0.005959877777,6.535513287e-07,6.535513416e-07,1.978195385e-12,3.11,7.991856868e-07,-0.009048806753,3.172992529,0.006234865401
0.871,-0.001819930342,3.128728332,0.005598101969,-0.00151329046,3.166657599,0.005959882335,6.282354144e-07,6.282354294e-07,1.977973341e-12,3.11,8.744831091e-07,-0.009048806753,3.172992529,0.006234865401
0.881,-0.001819930342,3.128728332,0.005598101969,-0.001513293613,3.166658019,0.005959975486,6.044965109e-07,6.044965279e-07,1.977085162e-12,3.11,9.442865426e-07,-0.009048806753,3.172992529,0.006234865401
0.891,-0.001819930342,3.128728332,0.005598101969,-0.001513290007,3.166658722,0.005960019797,5.823371554e-07,5.823371742e-07,1.975752895e-12,3.11,1.008729351e-06,-0.009048806753,3.172992529,0.006234865401
0.901,-0.001819930342,3.128728332,0.005598101969,-0.001513291548,3.16665909,0.005960091801,5.617422773e-07,5.617422977e-07,1.974864716e-12,3.11,1.067959476e-06,-0.009048806753,3.172992529,0.006234865401
0.911,-0.001819930342,3.128728332,0.005598101969,-0.002047607071,3.167105457,0.005976438655,5.426873159e-07,5.426873378e-07,1.973532449e-12,3.11,1.122137581e-06,-0.009054338921,3.172999031,0.006234954752
0.921,-0.001819930342,3.128728332,0.005598101969,-0.002047616905,3.167105866,0.005976552765,5.251434415e-07,5.251434648e-07,1.971978136e-12,3.11,1.171435507e-06,-0.009054338921,3.172999031,0.006234954752
0.931,-0.001819930342,3.128728332,0.005598101969,-0.002047605549,3.167106499,0.005976527601,5.090806768e-07,5.090807012e-07,1.970423824e-12,3.11,1.216035051e-06,-0.009054338921,3.172999031,0.006234954752
0.941,-0.001819930342,3.128728332,0.005598101969,-0.002047608585,3.167106867,0.005976589215,4.944695918e-07,4.944696173e-07,1.969091556e-12,3.11,1.256126116e-06,-0.009054338921,3.172999031,0.006234954752
0.951,-0.001819930342,3.128728332,0.005598101969,-0.002047605304,3.167107393,0.0059766064,4.812820922e-07,4.812821185e-07,1.96687111e-12,3.11,1.291905587e-06,-0.009054338921,3.172999031,0.006234954752
0.961,-0.001819930342,3.128728332,0.005598101969,-0.002047606759,3.167107883,0.005976649574,4.694916679e-07,4.694916951e-07,1.964650664e-12,3.11,1.323575657e-06,-0.009054338921,3.172999031,0.006234954752
0.971,-0.001819930342,3.128728332,0.005598101969,-0.002510439589,3.16749516,0.005991088571,4.590733418e-07,4.590733696e-07,1.962208174e-12,3.11,1.351342414e-06,-0.009042470802,3.172990924,0.006232427383
