"Time","estimated_follow_longi_velocity","estimated_follow_sideslip_angle","estimated_lead_longi_velocity","estimated_lead_sideslip_angle","groundtruth_follow_longi_velocity","groundtruth_follow_sideslip_angle","groundtruth_lead_longi_velocity","groundtruth_lead_sideslip_angle"
1.591,-2.157569139e-05,0,-2.480074102e-05,0,1.476116469e-06,0,1.476116455e-06,0
1.601,-3.234478245e-05,0,-2.480074102e-05,0,1.347187883e-06,0,1.34718787e-06,0
1.611,-4.315283568e-08,0,-3.875510481e-08,0,1.221008454e-06,0,1.221008443e-06,0
1.621,-1.081446245e-05,0,-3.875510481e-08,0,1.098000907e-06,0,1.098000897e-06,0
1.631,-2.158619795e-05,0,-2.373485252e-05,0,9.785677541e-07,0,9.78567745e-07,0
1.641,-3.235813618e-05,0,-2.373485252e-05,0,8.630912501e-07,0,8.630912423e-07,0
1.651,-4.307006619e-08,0,-4.411498434e-08,0,7.519520557e-07,0,7.519520491e-07,0
1.661,-1.081461013e-05,0,-4.411498434e-08,0,6.454831715e-07,0,6.454831661e-07,0
1.671,-2.158569918e-05,0,-2.374174535e-05,0,5.43914204e-07,0,5.439141999e-07,0
1.681,-3.235595031e-05,0,-2.374174535e-05,0,4.474833259e-07,0,4.474833232e-07,0
1.691,-4.306238818e-08,0,-4.631665328e-08,0,3.564497382e-07,0,3.564497368e-07,0
1.701,-1.08105697e-05,0,-4.631665328e-08,0,2.71069545e-07,0,2.71069545e-07,0
1.711,-2.157617469e-05,0,-1.619947786e-05,0,1.91573748e-07,0,1.915737494e-07,0
1.721,-3.23395501e-05,0,-1.619947786e-05,0,1.18147526e-07,0,1.181475288e-07,0
1.731,-4.307618675e-08,0,-4.089136825e-08,0,5.094259274e-08,0,5.094259699e-08,0
1.741,-1.080109185e-05,0,-4.089136825e-08,0,-9.912331634e-09,0,-9.91232615e-09,0
1.751,-2.155598401e-05,0,-2.371045832e-05,0,-6.42885898e-08,0,-6.428858355e-08,0
1.761,-3.230741754e-05,0,-2.371045832e-05,0,-1.120508372e-07,0,-1.120508307e-07,0
