"Time","estimated_follow_longi_velocity","follow_velocity_deviation_FL","follow_velocity_deviation_FR","follow_velocity_deviation_RL","follow_velocity_deviation_RR","follow_wheel_rot_rate_change_FL","follow_wheel_rot_rate_change_FR","follow_wheel_rot_rate_change_RL","follow_wheel_rot_rate_change_RR","follow_wheel_speed_CG_FL","follow_wheel_speed_CG_FR","follow_wheel_speed_CG_RL","follow_wheel_speed_CG_RR","groundtruth_follow_longi_velocity","is_follow_wheel_data_valid_FL","is_follow_wheel_data_valid_FR","is_follow_wheel_data_valid_RL","is_follow_wheel_data_valid_RR"
0.351,-2.147362469e-05,4.426902642e-05,4.143469397e-05,4.425762032e-05,4.144649447e-05,1.25e-06,1.25e-06,1.25e-06,1.25e-06,1.417168067e-06,-1.417176839e-06,1.40556292e-06,-1.40556292e-06,6.261590094e-07,1,1,1,1
0.361,-3.218566445e-05,4.426902642e-05,4.143469397e-05,4.425762032e-05,4.144649447e-05,1.25e-06,1.25e-06,1.25e-06,1.25e-06,1.417168067e-06,-1.417176839e-06,1.40556292e-06,-1.40556292e-06,6.053931139e-07,1,1,1,1
0.371,-4.28520522e-08,4.39049883e-05,4.188184583e-05,4.389690152e-05,4.189032378e-05,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.011573081e-06,-1.011578247e-06,1.003288868e-06,-1.003288868e-06,5.889991289e-07,1,1,1,1
0.381,-1.074592826e-05,4.39049883e-05,4.188184583e-05,4.389690152e-05,4.189032378e-05,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.011573081e-06,-1.011578247e-06,1.003288868e-06,-1.003288868e-06,5.774593928e-07,1,1,1,1
0.391,-2.144378596e-05,4.39049883e-05,4.188184583e-05,4.389690152e-05,4.189032378e-05,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.011573081e-06,-1.011578247e-06,1.003288868e-06,-1.003288868e-06,5.709909984e-07,1,1,1,1
0.401,-3.213632703e-05,4.39049883e-05,4.188184583e-05,4.389690152e-05,4.189032378e-05,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.111111111e-06,1.011573081e-06,-1.011578247e-06,1.003288868e-06,-1.003288868e-06,5.69554795e-07,1,1,1,1
0.411,-4.278139395e-08,4.335638803e-05,4.229054461e-05,4.335221839e-05,4.229510168e-05,1e-06,1e-06,1e-06,1e-06,5.329229884e-07,-5.329250496e-07,5.285583523e-07,-5.285583523e-07,5.729523812e-07,1,1,1,1
0.421,-1.07251595e-05,4.335638803e-05,4.229054461e-05,4.335221839e-05,4.229510168e-05,1e-06,1e-06,1e-06,1e-06,5.329229884e-07,-5.329250496e-07,5.285583523e-07,-5.285583523e-07,5.808878805e-07,1,1,1,1
0.431,-2.140290306e-05,4.335638803e-05,4.229054461e-05,4.335221839e-05,4.229510168e-05,1e-06,1e-06,1e-06,1e-06,5.329229884e-07,-5.329250496e-07,5.285583523e-07,-5.285583523e-07,5.92969137e-07,1,1,1,1
0.441,-3.2076406e-05,4.335638803e-05,4.229054461e-05,4.335221839e-05,4.229510168e-05,1e-06,1e-06,1e-06,1e-06,5.329229884e-07,-5.329250496e-07,5.285583523e-07,-5.285583523e-07,6.087774108e-07,1,1,1,1
0.451,-4.270340415e-08,4.279576105e-05,4.26960041e-05,4.279554502e-05,4.269660494e-05,9.090909091e-07,9.090909091e-07,9.090909091e-07,9.090909091e-07,4.98785752e-08,-4.987870551e-08,4.947004047e-08,-4.947004047e-08,6.278505998e-07,1,1,1,1
0.461,-1.070896609e-05,4.279576105e-05,4.26960041e-05,4.279554502e-05,4.269660494e-05,9.090909091e-07,9.090909091e-07,9.090909091e-07,9.090909091e-07,4.98785752e-08,-4.987870551e-08,4.947004047e-08,-4.947004047e-08,6.497190426e-07,1,1,1,1
0.471,-2.137225174e-05,4.279576105e-05,4.26960041e-05,4.279554502e-05,4.269660494e-05,9.090909091e-07,9.090909091e-07,9.090909091e-07,9.090909091e-07,4.98785752e-08,-4.987870551e-08,4.947004047e-08,-4.947004047e-08,6.739100868e-07,1,1,1,1
